,thorchain_address,Bonded_RUNE_TC
0,thor10afkwx5heh26fjwum682neq7wkkre5md0wp8vc,867573.22411563
1,thor1732r3v75ttepl4022mfllph3zfljcpgsnfzqn3,895767.64805873
2,thor13766zpcca3420hkg0nxnazpgkcw90mx0xfvxcj,644807.70315593
3,thor1tfm4q8u57qzsznpvh02s8j483aga63cl02k6jt,588613.75032003
4,thor1tfm4q8u57qzsznpvh02s8j483aga63cl02k6jt,3.86702201
5,thor1hxrydan0eypp5eutah2dt63swnqwzuvc0elgmd,372603.68368061
6,thor1nhn92gj5498t08tanzm46970p3q4jqrekvlt80,982496.973314
7,thor1732r3v75ttepl4022mfllph3zfljcpgsnfzqn3,894081.57102042
8,thor1732r3v75ttepl4022mfllph3zfljcpgsnfzqn3,881482.13911406
9,thor1lph34j6e900hpzzaartrwxcqxmwwvaczcugnsu,895961.443972
10,thor1tcet6mxe80x89a8dlpynehlj4ya7cae4v3hmce,7325.50033717
11,thor1up5rgh793fwf0c9ep50x00jusqk72crv6pjhw0,900001.80883013
12,thor1lfsns9683fw3mdq3cmhpe93f7phc72nlfk2hys,895259.11002269
13,thor1ywpstj9hj6d5297ln66jx426anlkv3frx36f74,1.07950557
14,thor1tcet6mxe80x89a8dlpynehlj4ya7cae4v3hmce,8192.24171895
15,thor1up5rgh793fwf0c9ep50x00jusqk72crv6pjhw0,900001.90227103
16,thor1732r3v75ttepl4022mfllph3zfljcpgsnfzqn3,882967.63924747
17,thor1tfm4q8u57qzsznpvh02s8j483aga63cl02k6jt,308855.92892754
18,thor1fngj2tc6jhx2qs9svx30pjvf8u3srs7qwf0h6k,456557.11420783
19,thor1hxrydan0eypp5eutah2dt63swnqwzuvc0elgmd,215943.58608321
20,thor1y0tksvjjwhvc7ltzce8k80t7sj8pt2zhpx2ku2,982153.87972008
21,thor1nuwd0vpdgvheuzz44yulkvzt5yx38gm99mrjw8,896057.55098188
22,thor1dd6g7y87ey7rswzlu2qzgj8863f3qzfvefrjrz,921918.68932983
23,thor1lfsns9683fw3mdq3cmhpe93f7phc72nlfk2hys,887286.63406015
24,thor1lclvtn54sayen20n87h9q9m7pv70mc564dpx9k,925685.19550382
25,thor1wlzhcxs0r4yh4pswj8zfqlp7dnp95p4kxn0dcr,874930.42395248
26,thor1lclvtn54sayen20n87h9q9m7pv70mc564dpx9k,918758.79518176
27,thor1tcet6mxe80x89a8dlpynehlj4ya7cae4v3hmce,8048.97580582
28,thor1afdxvjwdn7shdnwj8lez67qc3la5yw9gguld9g,880000.34430754
29,thor1lclvtn54sayen20n87h9q9m7pv70mc564dpx9k,918187.58439854
30,thor1qq2k6avev53ake5ve4k2ympz80j80y54pxedas,897644.87576352
31,thor1grzsp2ywwr2f0ank2wdjc6zwu3ell2etjerll5,787951.62347362
32,thor1k3drgjuekwe4e82cs6mp87932ejvk2m25jcsgj,961031.54194646
33,thor1grzsp2ywwr2f0ank2wdjc6zwu3ell2etjerll5,782707.0872497
34,thor1732r3v75ttepl4022mfllph3zfljcpgsnfzqn3,886919.68151728
35,thor1rfvanu6xay5qsqr9g8q587nnyuq35zj3tlqj4y,939542.25499031
36,thor1lfsns9683fw3mdq3cmhpe93f7phc72nlfk2hys,811008.95390352
37,thor1tcet6mxe80x89a8dlpynehlj4ya7cae4v3hmce,8095.44417035
38,thor1up5rgh793fwf0c9ep50x00jusqk72crv6pjhw0,900001.88160758
39,thor1eja5l46cf4vs3xumvhmy7vv9whm88dppkua7h4,961854.94219467
40,thor1ddgffm9srr6ts2ey9tf7pza8kn8h3vsunn62lv,820830.9926099
41,thor1lfsns9683fw3mdq3cmhpe93f7phc72nlfk2hys,893613.44258722
42,thor1ywpstj9hj6d5297ln66jx426anlkv3frx36f74,1.07759331
43,thor1wndaapea8y79rsrfg9umxs4pkw9f25y8ruv2xm,284265.05178718
44,thor1lclvtn54sayen20n87h9q9m7pv70mc564dpx9k,609095.88983756
45,thor1q0adkgxdph6660kflw5mnc0p7llhf3mf3f5jlv,816547.19228597
46,thor1j96ruj3h5qm8ldr9cg39ghvvlp344h0j803vq2,739528.41120879
47,thor1eapavdegkph3uc4jw507n77uc6r76vdx9u5fjr,983579.13237142
48,thor1xpxjq73gyy2y6yfh6a5l32ygrw23n4feanzr6z,936209.52501689
49,thor1w83z03ypr825cpz2q6jxx9rdzg47kvhhad295r,169509.02390263
50,thor1w83z03ypr825cpz2q6jxx9rdzg47kvhhad295r,566518.423932
51,thor1tnlw06s9jnp9e4lsj0yf6y8rn4udgzlsd73tq9,172637.46191344
52,thor1lclvtn54sayen20n87h9q9m7pv70mc564dpx9k,924862.16473601
53,thor1tcet6mxe80x89a8dlpynehlj4ya7cae4v3hmce,8057.55898013
54,thor1up5rgh793fwf0c9ep50x00jusqk72crv6pjhw0,900001.88279304
55,thor1732r3v75ttepl4022mfllph3zfljcpgsnfzqn3,884679.57939853
56,thor127q29xqvwwg9a4lyzhwc572gtrkrwqm774h92a,969322.99643301
57,thor1tcet6mxe80x89a8dlpynehlj4ya7cae4v3hmce,7339.1248899
58,thor1up5rgh793fwf0c9ep50x00jusqk72crv6pjhw0,900001.80890955
59,thor1lfsns9683fw3mdq3cmhpe93f7phc72nlfk2hys,894733.2997813
60,thor1xpxjq73gyy2y6yfh6a5l32ygrw23n4feanzr6z,919229.93745128
61,thor1mjk895l8tp8u5zmglxcm6wqva9eljupsa079e7,785050.75181246
62,thor1ds3rz3jnpnqvwa8huwwtsj3gkrl7afy2527dm9,779438.62916995
63,thor1tcet6mxe80x89a8dlpynehlj4ya7cae4v3hmce,5257.87974009
64,thor1wz547zurwmrhuexp5ueq8sdd6yyeem7slj8tws,880000.41897217
65,thor1k3drgjuekwe4e82cs6mp87932ejvk2m25jcsgj,923044.69108099
66,thor14vwpc3dfmccpc93f5dm54l5uua5v6w03e4z7pg,616932.03944113
67,thor1fx09f8sp7ehltdxrfwpnkgtekvpwp4lhy4radk,20805.70831309
68,thor15d7x57v7gu3j3kgp2pfejeaf9h37vj4cyelrtg,50360.31520547
69,thor1lwrr45wjp7tf4vwsy4m7h0th4rampz6kl2l3vd,30816.50711986
70,thor1tfm4q8u57qzsznpvh02s8j483aga63cl02k6jt,397308.11422511
71,thor1tfm4q8u57qzsznpvh02s8j483aga63cl02k6jt,3001.17792115
72,thor1hxrydan0eypp5eutah2dt63swnqwzuvc0elgmd,487926.88138454
73,thor1kp3r6ahpcpr0aehrhgpgqvqvqqr0ku7ltxrxtj,79759.93235091
74,thor1732r3v75ttepl4022mfllph3zfljcpgsnfzqn3,879125.26770567
75,thor1lclvtn54sayen20n87h9q9m7pv70mc564dpx9k,924819.07700208
76,thor1wlzhcxs0r4yh4pswj8zfqlp7dnp95p4kxn0dcr,890566.1999565
77,thor1tcet6mxe80x89a8dlpynehlj4ya7cae4v3hmce,0.94946475
78,thor1kak953506gs8a5kg4vhaauhnasv9l2wljwk0dd,267648.55439471
79,thor1up5rgh793fwf0c9ep50x00jusqk72crv6pjhw0,656544.81551441
80,thor1kznwfnu3w2grc00ekxa48hed9eq9hsqh6nd4jg,603059.55261621
81,thor1h5t9vmg30nrax6ylt65uhjppy028sm6lq5sdpt,42856.85138109
82,thor1qu5fkcehjgu0vtwmfzu0whg5tx2t4rtajjnn7q,13025.12149818
83,thor1y0tksvjjwhvc7ltzce8k80t7sj8pt2zhpx2ku2,904064.68554662
84,thor1tfm4q8u57qzsznpvh02s8j483aga63cl02k6jt,192923.23322227
85,thor1tfm4q8u57qzsznpvh02s8j483aga63cl02k6jt,1386.98035989
86,thor1m5a89dc5wg8af6ntz842235lcvljwa0ryhjqh5,133979.82649386
87,thor12msae5csjsvcd985n9nnp0xh7r6k8xm3xj69qe,110053.73961264
88,thor1q2pppwuqlnrlfse79rtx8pwh29chgxjvd384p5,462529.03037711
89,thor13tqs4dgvjyhukx2aed78lu6gz49t6penjwnd50,934493.56479977
90,thor1kqqke9rqsyta5dzz707vd5zdzuyu9ar6xjj09f,372810.53919663
91,thor1dd6g7y87ey7rswzlu2qzgj8863f3qzfvefrjrz,503796.66432878
92,thor1nuk5hzdvlxw67pazyvltgaxnc9sfr5yghfxqk0,130184.08084256
93,thor16sa3k77lffrdqm854djjr9lgzv777sadrhpgtt,177415.85796049
94,thor16sa3k77lffrdqm854djjr9lgzv777sadrhpgtt,981478.04101077
95,thor1ydsjmawwygxym370lmd97gva0qgs6elelszaxq,789564.84800414
96,thor1tfm4q8u57qzsznpvh02s8j483aga63cl02k6jt,1.13671261
97,thor1xzj9vu7qk5krm2ac9lg9ya46kxrnvu9ymw4wqp,250005.20608313
98,thor15czvt4nn3cf7pxjcfgrujd72vhu05390xl8nqh,117170.0
99,thor14wtqzhe9cj7jjtwkv4436jz00xphwr6m3zq9z8,450000.0
100,thor1d067knskx06yfe6ura6u99c9nxnlz0h4yqvmrg,899988.60769822
101,thor1xpxjq73gyy2y6yfh6a5l32ygrw23n4feanzr6z,926421.70950323
102,thor1f2v8ljr6xnxmkdwt9m558jnmqej64erruam8zk,920100.98
103,thor1732r3v75ttepl4022mfllph3zfljcpgsnfzqn3,905814.64877112
104,thor1qq2k6avev53ake5ve4k2ympz80j80y54pxedas,891963.72832974
